"user_id","firstname","lastname","gender","iteminsession","session_id","length","level","location","artist","song"
"44","Aleena","Kirby","F","10","637","231.57506","paid","Waterloo-Cedar Falls, IA","Mudhoney","Get Into Yours"
"44","Aleena","Kirby","F","11","637","238.39302","paid","Waterloo-Cedar Falls, IA","Carpenters","Yesterday Once More"
"44","Aleena","Kirby","F","13","637","185.28608","paid","Waterloo-Cedar Falls, IA","Kings Of Leon","Taper Jean Girl"
"44","Aleena","Kirby","F","14","637","201.97832","paid","Waterloo-Cedar Falls, IA","The Bloody Beetroots","Warp 1.9 (feat. Steve Aoki)"
"44","Aleena","Kirby","F","15","637","201.79546","paid","Waterloo-Cedar Falls, IA","Kings Of Leon","Revelry"
"44","Aleena","Kirby","F","16","637","265.482","paid","Waterloo-Cedar Falls, IA","Euge Groove","Tenderly"
"44","Aleena","Kirby","F","17","637","249.0771","paid","Waterloo-Cedar Falls, IA","Soltero","Bleeding Hearts"
"44","Aleena","Kirby","F","18","637","257.01832","paid","Waterloo-Cedar Falls, IA","Nirvana","Lithium"
"6","Cecilia","Owens","F","0","535","252.21179","free","Atlanta-Sandy Springs-Roswell, GA","Alliance Ethnik","ReprÃÂ©sente"
"6","Cecilia","Owens","F","1","535","232.35873","free","Atlanta-Sandy Springs-Roswell, GA","Lykke Li","Melodies & Desires"
"26","Ryan","Smith","M","1","622","386.76853","free","San Jose-Sunnyvale-Santa Clara, CA","The Coffee Club Orchestra","Overture"
"26","Ryan","Smith","M","2","622","655.77751","free","San Jose-Sunnyvale-Santa Clara, CA","Harmonia","Sehr kosmisch"
"88","Mohammad","Rodriguez","M","2","614","182.07302","free","Sacramento--Roseville--Arden-Arcade, CA","Alicia Keys","Caged Bird"
"88","Mohammad","Rodriguez","M","3","614","329.19465","free","Sacramento--Roseville--Arden-Arcade, CA","Crosby_ Stills & Nash","Wooden Ships (LP Version)"
"26","Ryan","Smith","M","3","622","241.162","free","San Jose-Sunnyvale-Santa Clara, CA","R.E.M.","What's The Frequency_ Kenneth? (Radio Version)"
"49","Chloe","Cuevas","F","6","636","323.49995","paid","San Francisco-Oakland-Hayward, CA","Eric Clapton","My Father's Eyes"
"49","Chloe","Cuevas","F","7","636","237.81832","paid","San Francisco-Oakland-Hayward, CA","Godley & Creme","Cry"
"49","Chloe","Cuevas","F","8","636","497.13587","paid","San Francisco-Oakland-Hayward, CA","Ron Carter","I CAN'T GET STARTED"
"80","Tegan","Levine","F","0","620","179.25179","paid","Portland-South Portland, ME","Timbaland / Keri Hilson / D.O.E.","The Way I Are"
"49","Chloe","Cuevas","F","9","636","295.73179","paid","San Francisco-Oakland-Hayward, CA","Everything But The Girl","Missing"
"80","Tegan","Levine","F","1","620","249.52118","paid","Portland-South Portland, ME","Big Mountain","Baby_ I Love Your Way (Album Version)"
"49","Chloe","Cuevas","F","10","636","315.81995","paid","San Francisco-Oakland-Hayward, CA","Gotan Project","Queremos Paz"
"80","Tegan","Levine","F","2","620","173.40036","paid","Portland-South Portland, ME","Washed Out","Belong"
"80","Tegan","Levine","F","3","620","312.13669","paid","Portland-South Portland, ME","OutKast","My Favorite Things"
"49","Chloe","Cuevas","F","11","636","388.64934","paid","San Francisco-Oakland-Hayward, CA","Black Sabbath","Symptom Of The Universe"
"80","Tegan","Levine","F","4","620","226.76853","paid","Portland-South Portland, ME","Late Night Alumni","Uncharted"
"49","Chloe","Cuevas","F","12","636","293.82485","paid","San Francisco-Oakland-Hayward, CA","Slightly Stoopid","This Joint"
"80","Tegan","Levine","F","5","620","211.722","paid","Portland-South Portland, ME","Beastie Boys","Unite (2009 Digital Remaster)"
"80","Tegan","Levine","F","6","620","222.95465","paid","Portland-South Portland, ME","The Killers","Who Let You Go?"
"49","Chloe","Cuevas","F","13","636","236.2771","paid","San Francisco-Oakland-Hayward, CA","Riverside","Stuck Between"
"80","Tegan","Levine","F","7","620","246.07302","paid","Portland-South Portland, ME","Flobots","Good Soldier"
"49","Chloe","Cuevas","F","14","636","307.53914","paid","San Francisco-Oakland-Hayward, CA","Lighthouse Family","High"
"80","Tegan","Levine","F","8","620","144.06485","paid","Portland-South Portland, ME","Jack Johnson","Do You Remember"
